,countryiso3code,date,value,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country.value
30,SSF,1990,47.6248732294406,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
31,SSF,1989,47.7142165086913,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
32,SSF,1988,47.8051008576973,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
33,SSF,1987,47.8915961602096,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
34,SSF,1986,47.5476239801068,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
35,SSF,1985,47.1995901042373,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
36,SSF,1984,46.8528110025476,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
37,SSF,1983,46.5030827604912,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
38,SSF,1982,46.1509888583397,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
39,SSF,1981,45.6619249287329,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
40,SSF,1980,45.1702776447032,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
41,SSF,1979,44.6947326851832,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
42,SSF,1978,44.2203234909248,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
43,SSF,1977,43.7470439573822,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
44,SSF,1976,43.1707559407667,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
45,SSF,1975,42.5917374073228,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
46,SSF,1974,42.0145062336194,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
47,SSF,1973,41.4352223748825,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
48,SSF,1972,40.8530722475074,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
49,SSF,1971,40.2557413643478,,,0,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",ZG,Sub-Saharan Africa
